Nachos:             Total quantity sold: 0  Total sales: $0.00
Walking Tacos:      Total quantity sold: 5  Total sales: $26.25
Mountain Melter:    Total quantity sold: 0  Total sales: $0.00
Chocolate Bar:      Total quantity sold: 0  Total sales: $0.00
Chippos:            Total quantity sold: 1  Total sales: $2.55
Turkey Sandwich:    Total quantity sold: 0  Total sales: $0.00
Papsi:              Total quantity sold: 1  Total sales: $2.45
Caramel Bar:        Total quantity sold: 0  Total sales: $0.00
Popcorn:            Total quantity sold: 1  Total sales: $1.75
Veggie Wrap:        Total quantity sold: 2  Total sales: $8.50
7Down:              Total quantity sold: 2  Total sales: $3.50
Chewy Bar:          Total quantity sold: 1  Total sales: $2.15
Preengles:          Total quantity sold: 4  Total sales: $9.40
Burrito:            Total quantity sold: 2  Total sales: $9.70
Ginger Ayle:        Total quantity sold: 4  Total sales: $7.40
After Lunch Mints:  Total quantity sold: 0  Total sales: $0.00
Total gross sales: $73.65
